matchid,teamid,0_1,0_2,0_3,0_4,1_2,1_3,1_4,2_3,2_4,3_4,cs_00,cs_01,cs_02,cs_03,cs_04,cs_05,cs_06,cs_07,cs_08,cs_09,total_cs,gameDuration,win,total_death,total_kills,total_obj,delta_cs
NA1_3768887556,0,1,1,223,58,22,1,1,1,1,82,223,82,58,22,1,1,1,1,1,1,391,1309239,True,8,17,6,-10
NA1_3768887556,1,93,92,1,1,181,1,1,1,1,29,181,93,92,29,1,1,1,1,1,1,401,1309239,False,17,8,6,10
NA1_3768899747,0,161,1,161,1,1,136,1,1,12,1,161,161,136,12,1,1,1,1,1,1,476,1910472,False,29,26,6,84
NA1_3768899747,1,1,1,223,58,23,1,1,1,1,82,223,82,58,23,1,1,1,1,1,1,392,1910472,True,26,29,6,-84
NA1_3768812730,0,134,1,1,1,1,1,1,46,7,9,134,46,9,7,1,1,1,1,1,1,202,1642979,True,18,26,6,-99
NA1_3768812730,1,68,1,1,2,1,1,2,223,1,1,223,68,2,2,1,1,1,1,1,1,301,1642979,False,26,18,6,99
NA1_3768758184,0,95,344,1,1,100,1,1,1,1,21,344,100,95,21,1,1,1,1,1,1,566,938426,False,19,11,6,207
NA1_3768758184,1,128,1,1,1,1,1,1,223,1,1,223,128,1,1,1,1,1,1,1,1,359,938426,True,11,19,6,-207
NA1_3767166733,0,125,101,1,1,152,1,1,1,1,1,152,125,101,1,1,1,1,1,1,1,385,1761354,True,18,34,6,239
NA1_3767166733,1,1,1,1,1,4,38,28,11,10,51,51,38,28,11,10,4,1,1,1,1,146,1761354,False,34,18,6,-239
NA1_3765777061,0,248,1,1,239,1,1,242,1,1,1,248,242,239,1,1,1,1,1,1,1,736,2081272,True,34,53,6,487
NA1_3765777061,1,1,19,1,1,1,62,108,1,1,54,108,62,54,19,1,1,1,1,1,1,249,2081272,False,53,34,6,-487
NA1_3765721146,0,1,1,1,1,1,1,46,1,1,1,46,1,1,1,1,1,1,1,1,1,55,1760755,False,55,25,6,-1138
NA1_3765721146,1,78,113,94,47,140,229,106,159,97,130,229,159,140,130,113,106,97,94,78,47,1193,1760755,True,25,54,6,1138
NA1_3765673445,0,4,4,1,10,97,1,6,1,8,1,97,10,8,6,4,4,1,1,1,1,133,1700007,False,32,16,6,-8
NA1_3765673445,1,19,18,12,6,18,15,11,16,17,9,19,18,18,17,16,15,12,11,9,6,141,1700007,True,16,32,6,8
NA1_3765627328,0,87,2,116,111,7,120,123,11,10,166,166,123,120,116,111,87,11,10,7,2,753,1179691,True,6,15,6,520
NA1_3765627328,1,1,1,1,112,113,1,1,1,1,1,113,112,1,1,1,1,1,1,1,1,233,1179691,False,15,6,6,-520
NA1_3765592773,0,34,141,1,104,160,1,111,1,359,1,359,160,141,111,104,34,1,1,1,1,913,1220059,True,16,31,6,594
NA1_3765592773,1,228,1,1,1,1,1,1,40,27,18,228,40,27,18,1,1,1,1,1,1,319,1220059,False,31,16,6,-594
NA1_3764526277,0,223,1,1,1,1,1,1,247,165,187,247,223,187,165,1,1,1,1,1,1,828,2014516,True,24,31,6,396
NA1_3764526277,1,341,1,1,1,1,1,1,8,3,74,341,74,8,3,1,1,1,1,1,1,432,2014516,False,32,24,6,-396
NA1_3764518077,0,246,99,1,1,110,1,1,1,1,390,390,246,110,99,1,1,1,1,1,1,851,1651625,False,30,17,6,455
NA1_3764518077,1,1,223,1,1,1,165,1,1,1,1,223,165,1,1,1,1,1,1,1,1,396,1651625,True,17,30,6,-455
NA1_3764500705,0,1,1,1,10,1,19,1,1,1,1,19,10,1,1,1,1,1,1,1,1,37,1979385,False,61,41,6,-763
NA1_3764500705,1,1,223,1,1,1,135,154,1,1,282,282,223,154,135,1,1,1,1,1,1,800,1979385,True,41,60,6,763
NA1_3763103527,0,34,1,1,1,1,1,1,223,1,1,223,34,1,1,1,1,1,1,1,1,265,1927402,True,23,45,6,-108
NA1_3763103527,1,44,35,1,1,56,1,1,1,1,232,232,56,44,35,1,1,1,1,1,1,373,1927402,False,45,23,6,108
NA1_3763016043,0,1,1,223,1,1,1,1,1,1,1,223,1,1,1,1,1,1,1,1,1,232,1986530,True,30,48,6,118
NA1_3763016043,1,1,1,16,73,1,1,1,1,1,18,73,18,16,1,1,1,1,1,1,1,114,1986530,False,48,30,6,-118
NA1_3762945071,0,121,149,433,72,60,207,65,166,32,114,433,207,166,149,121,114,72,65,60,32,1419,2728946,False,48,35,6,1172
NA1_3762945071,1,1,1,223,1,1,1,1,1,16,1,223,16,1,1,1,1,1,1,1,1,247,2728946,True,35,48,6,-1172
NA1_3760189826,0,4,1,77,112,1,48,37,1,1,207,207,112,77,48,37,4,1,1,1,1,489,2681799,True,38,56,6,180
NA1_3760189826,1,223,1,1,1,1,1,1,78,1,1,223,78,1,1,1,1,1,1,1,1,309,2681799,False,56,38,6,-180
