matchid,teamid,0_1,0_2,0_3,0_4,1_2,1_3,1_4,2_3,2_4,3_4,cs_00,cs_01,cs_02,cs_03,cs_04,cs_05,cs_06,cs_07,cs_08,cs_09,total_cs,gameDuration,win,total_death,total_kills,total_obj,delta_cs
NA1_3864543765,0,,,,,,,,,,,,,,,,,,,,,0,1556242,False,64,48,6,0
NA1_3864543765,1,,,,,,,,,,,,,,,,,,,,,0,1556242,True,50,64,6,0
NA1_3864497395,0,,,,,,,,,,,,,,,,,,,,,0,1449426,True,29,39,6,0
NA1_3864497395,1,,,,,,,,,,,,,,,,,,,,,0,1449426,False,39,29,6,0
NA1_3864492832,0,,,,,,,,,,,,,,,,,,,,,0,1097367,False,37,40,6,0
NA1_3864492832,1,,,,,,,,,,,,,,,,,,,,,0,1097367,True,40,37,6,0
NA1_3864409253,0,,,,,,,,,,,,,,,,,,,,,0,865731,False,32,20,6,0
NA1_3864409253,1,,,,,,,,,,,,,,,,,,,,,0,865731,True,21,32,6,0
NA1_3860624049,0,,,,,,,,,,,,,,,,,,,,,0,1479249,False,67,40,6,0
NA1_3860624049,1,,,,,,,,,,,,,,,,,,,,,0,1479249,True,44,66,6,0
NA1_3860571390,0,,,,,,,,,,,,,,,,,,,,,0,943109,False,34,20,6,0
NA1_3860571390,1,,,,,,,,,,,,,,,,,,,,,0,943109,True,21,34,6,0
NA1_3860544148,0,,,,,,,,,,,,,,,,,,,,,0,1587933,False,46,56,6,0
NA1_3860544148,1,,,,,,,,,,,,,,,,,,,,,0,1587933,True,56,46,6,0
NA1_3860530684,0,,,,,,,,,,,,,,,,,,,,,0,925462,True,30,43,6,0
NA1_3860530684,1,,,,,,,,,,,,,,,,,,,,,0,925462,False,43,30,6,0
NA1_3860458205,0,,,,,,,,,,,,,,,,,,,,,0,781667,False,31,26,6,0
NA1_3860458205,1,,,,,,,,,,,,,,,,,,,,,0,781667,True,27,31,6,0
NA1_3859109470,0,,,,,,,,,,,,,,,,,,,,,0,1542840,False,57,35,6,0
NA1_3859109470,1,,,,,,,,,,,,,,,,,,,,,0,1542840,True,35,57,6,0
NA1_3857986083,0,,,,,,,,,,,,,,,,,,,,,0,1344209,False,41,32,6,0
NA1_3857986083,1,,,,,,,,,,,,,,,,,,,,,0,1344209,True,32,41,6,0
NA1_3857949723,0,,,,,,,,,,,,,,,,,,,,,0,1269226,True,51,41,6,0
NA1_3857949723,1,,,,,,,,,,,,,,,,,,,,,0,1269226,False,41,51,6,0
NA1_3854264519,0,,,,,,,,,,,,,,,,,,,,,0,1394927,True,40,32,6,0
NA1_3854264519,1,,,,,,,,,,,,,,,,,,,,,0,1394927,False,32,40,6,0
NA1_3854280140,0,,,,,,,,,,,,,,,,,,,,,0,982045,True,31,47,6,0
NA1_3854280140,1,,,,,,,,,,,,,,,,,,,,,0,982045,False,47,31,6,0
NA1_3849554010,0,,,,,,,,,,,,,,,,,,,,,0,1118663,True,36,47,6,0
NA1_3849554010,1,,,,,,,,,,,,,,,,,,,,,0,1118663,False,47,36,6,0
NA1_3849540525,0,,,,,,,,,,,,,,,,,,,,,0,2052458,False,57,77,6,0
NA1_3849540525,1,,,,,,,,,,,,,,,,,,,,,0,2052458,True,77,57,6,0
NA1_3846524076,0,,,,,,,,,,,,,,,,,,,,,0,1440240,False,45,39,6,0
NA1_3846524076,1,,,,,,,,,,,,,,,,,,,,,0,1440240,True,39,45,6,0
NA1_3846502727,0,,,,,,,,,,,,,,,,,,,,,0,1242358,False,44,33,6,0
NA1_3846502727,1,,,,,,,,,,,,,,,,,,,,,0,1242358,True,33,44,6,0
NA1_3846456816,0,,,,,,,,,,,,,,,,,,,,,0,1462505,True,59,56,6,0
NA1_3846456816,1,,,,,,,,,,,,,,,,,,,,,0,1462505,False,57,59,6,0
NA1_3846452626,0,,,,,,,,,,,,,,,,,,,,,0,1320084,False,38,28,6,0
NA1_3846452626,1,,,,,,,,,,,,,,,,,,,,,0,1320084,True,28,38,6,0
NA1_3842776206,0,,,,,,,,,,,,,,,,,,,,,0,1269875,True,62,55,6,0
NA1_3842776206,1,,,,,,,,,,,,,,,,,,,,,0,1269875,False,56,62,6,0
NA1_3842751049,0,,,,,,,,,,,,,,,,,,,,,0,2211488,True,71,65,6,0
NA1_3842751049,1,,,,,,,,,,,,,,,,,,,,,0,2211488,False,65,71,6,0
NA1_3842716190,0,,,,,,,,,,,,,,,,,,,,,0,1065574,True,36,39,6,0
NA1_3842716190,1,,,,,,,,,,,,,,,,,,,,,0,1065574,False,39,35,6,0
NA1_3842704031,0,,,,,,,,,,,,,,,,,,,,,0,790746,True,18,41,6,0
NA1_3842704031,1,,,,,,,,,,,,,,,,,,,,,0,790746,False,42,18,6,0
NA1_3842681700,0,,,,,,,,,,,,,,,,,,,,,0,919945,False,36,25,6,0
NA1_3842681700,1,,,,,,,,,,,,,,,,,,,,,0,919945,True,25,36,6,0
NA1_3841031493,0,,,,,,,,,,,,,,,,,,,,,0,1117111,True,25,29,6,0
NA1_3841031493,1,,,,,,,,,,,,,,,,,,,,,0,1117111,False,29,23,6,0
NA1_3840948740,0,,,,,,,,,,,,,,,,,,,,,0,1378761,True,41,49,6,0
NA1_3840948740,1,,,,,,,,,,,,,,,,,,,,,0,1378761,False,49,41,6,0
NA1_3840822100,0,,,,,,,,,,,,,,,,,,,,,0,1347416,True,43,58,6,0
NA1_3840822100,1,,,,,,,,,,,,,,,,,,,,,0,1347416,False,58,42,6,0
NA1_3840758901,0,,,,,,,,,,,,,,,,,,,,,0,1213233,False,40,32,6,0
NA1_3840758901,1,,,,,,,,,,,,,,,,,,,,,0,1213233,True,32,40,6,0
NA1_3840737022,0,,,,,,,,,,,,,,,,,,,,,0,1439658,True,52,64,6,0
NA1_3840737022,1,,,,,,,,,,,,,,,,,,,,,0,1439658,False,65,52,6,0
NA1_3840284183,0,,,,,,,,,,,,,,,,,,,,,0,1352096,False,46,43,6,0
NA1_3840284183,1,,,,,,,,,,,,,,,,,,,,,0,1352096,True,44,46,6,0
NA1_3840310648,0,,,,,,,,,,,,,,,,,,,,,0,703782,False,28,20,6,0
NA1_3840310648,1,,,,,,,,,,,,,,,,,,,,,0,703782,True,20,28,6,0
NA1_3839045746,0,,,,,,,,,,,,,,,,,,,,,0,1550404,True,60,46,6,0
NA1_3839045746,1,,,,,,,,,,,,,,,,,,,,,0,1550404,False,46,59,6,0
NA1_3839071588,0,,,,,,,,,,,,,,,,,,,,,0,824043,False,30,25,6,0
NA1_3839071588,1,,,,,,,,,,,,,,,,,,,,,0,824043,True,25,30,6,0
NA1_3838989546,0,,,,,,,,,,,,,,,,,,,,,0,1151606,False,37,35,6,0
NA1_3838989546,1,,,,,,,,,,,,,,,,,,,,,0,1151606,True,35,37,6,0
NA1_3838966237,0,,,,,,,,,,,,,,,,,,,,,0,1439210,True,65,63,6,0
NA1_3838966237,1,,,,,,,,,,,,,,,,,,,,,0,1439210,False,63,65,6,0
NA1_3838980918,0,,,,,,,,,,,,,,,,,,,,,0,1093297,False,50,44,6,0
NA1_3838980918,1,,,,,,,,,,,,,,,,,,,,,0,1093297,True,44,49,6,0
NA1_3838937118,0,,,,,,,,,,,,,,,,,,,,,0,771949,False,28,20,6,0
NA1_3838937118,1,,,,,,,,,,,,,,,,,,,,,0,771949,True,21,28,6,0
NA1_3838914373,0,,,,,,,,,,,,,,,,,,,,,0,1112663,True,29,44,6,0
NA1_3838914373,1,,,,,,,,,,,,,,,,,,,,,0,1112663,False,44,29,6,0
NA1_3838901950,0,,,,,,,,,,,,,,,,,,,,,0,789189,True,22,32,6,0
NA1_3838901950,1,,,,,,,,,,,,,,,,,,,,,0,789189,False,32,21,6,0
NA1_3838816392,0,,,,,,,,,,,,,,,,,,,,,0,1610269,True,43,37,6,0
NA1_3838816392,1,,,,,,,,,,,,,,,,,,,,,0,1610269,False,37,43,6,0
NA1_3837658049,0,,,,,,,,,,,,,,,,,,,,,0,1669179,False,53,57,6,0
NA1_3837658049,1,,,,,,,,,,,,,,,,,,,,,0,1669179,True,57,52,6,0
NA1_3837644408,0,,,,,,,,,,,,,,,,,,,,,0,1221153,False,37,45,6,0
NA1_3837644408,1,,,,,,,,,,,,,,,,,,,,,0,1221153,True,45,37,6,0
NA1_3837620264,0,,,,,,,,,,,,,,,,,,,,,0,1550137,True,64,66,6,0
NA1_3837620264,1,,,,,,,,,,,,,,,,,,,,,0,1550137,False,72,64,6,0
NA1_3836575363,0,,,,,,,,,,,,,,,,,,,,,0,1045831,False,45,41,6,0
NA1_3836575363,1,,,,,,,,,,,,,,,,,,,,,0,1045831,True,41,45,6,0
NA1_3836611050,0,,,,,,,,,,,,,,,,,,,,,0,1192816,True,32,41,6,0
NA1_3836611050,1,,,,,,,,,,,,,,,,,,,,,0,1192816,False,41,30,6,0
NA1_3836536181,0,,,,,,,,,,,,,,,,,,,,,0,1644828,True,48,53,6,0
NA1_3836536181,1,,,,,,,,,,,,,,,,,,,,,0,1644828,False,53,48,6,0
NA1_3836552271,0,,,,,,,,,,,,,,,,,,,,,0,1104952,False,35,18,6,0
NA1_3836552271,1,,,,,,,,,,,,,,,,,,,,,0,1104952,True,18,34,6,0
NA1_3835227964,0,,,,,,,,,,,,,,,,,,,,,0,1299883,True,57,44,6,0
NA1_3835227964,1,,,,,,,,,,,,,,,,,,,,,0,1299883,False,44,57,6,0
NA1_3835196583,0,,,,,,,,,,,,,,,,,,,,,0,1123538,False,40,33,6,0
NA1_3835196583,1,,,,,,,,,,,,,,,,,,,,,0,1123538,True,36,40,6,0
NA1_3835223320,0,,,,,,,,,,,,,,,,,,,,,0,984802,False,51,39,6,0
NA1_3835223320,1,,,,,,,,,,,,,,,,,,,,,0,984802,True,39,51,6,0
NA1_3830810574,0,,,,,,,,,,,,,,,,,,,,,0,1351169,True,49,45,6,0
NA1_3830810574,1,,,,,,,,,,,,,,,,,,,,,0,1351169,False,45,49,6,0
NA1_3827902544,0,,,,,,,,,,,,,,,,,,,,,0,1588282,False,70,40,6,0
NA1_3827902544,1,,,,,,,,,,,,,,,,,,,,,0,1588282,True,42,70,6,0
NA1_3827880780,0,,,,,,,,,,,,,,,,,,,,,0,1280346,False,46,23,6,0
NA1_3827880780,1,,,,,,,,,,,,,,,,,,,,,0,1280346,True,25,46,6,0
NA1_3827807326,0,,,,,,,,,,,,,,,,,,,,,0,1033328,False,37,30,6,0
NA1_3827807326,1,,,,,,,,,,,,,,,,,,,,,0,1033328,True,31,37,6,0
NA1_3827823688,0,,,,,,,,,,,,,,,,,,,,,0,1088375,False,38,36,6,0
NA1_3827823688,1,,,,,,,,,,,,,,,,,,,,,0,1088375,True,36,38,6,0
NA1_3827791686,0,,,,,,,,,,,,,,,,,,,,,0,1221301,True,41,43,6,0
NA1_3827791686,1,,,,,,,,,,,,,,,,,,,,,0,1221301,False,43,41,6,0
NA1_3827698248,0,,,,,,,,,,,,,,,,,,,,,0,1215737,True,35,36,6,0
NA1_3827698248,1,,,,,,,,,,,,,,,,,,,,,0,1215737,False,36,35,6,0
NA1_3827693773,0,,,,,,,,,,,,,,,,,,,,,0,1259729,True,46,65,6,0
NA1_3827693773,1,,,,,,,,,,,,,,,,,,,,,0,1259729,False,65,46,6,0
NA1_3823458512,0,,,,,,,,,,,,,,,,,,,,,0,1029515,True,13,18,6,0
NA1_3823458512,1,,,,,,,,,,,,,,,,,,,,,0,1029515,False,18,13,6,0
NA1_3823493748,0,,,,,,,,,,,,,,,,,,,,,0,1146364,True,30,52,6,0
NA1_3823493748,1,,,,,,,,,,,,,,,,,,,,,0,1146364,False,53,30,6,0
NA1_3823471688,0,,,,,,,,,,,,,,,,,,,,,0,906339,True,34,27,6,0
NA1_3823471688,1,,,,,,,,,,,,,,,,,,,,,0,906339,False,27,34,6,0
NA1_3823427623,0,,,,,,,,,,,,,,,,,,,,,0,1522141,True,67,56,6,0
NA1_3823427623,1,,,,,,,,,,,,,,,,,,,,,0,1522141,False,56,67,6,0
NA1_3823414082,0,,,,,,,,,,,,,,,,,,,,,0,1225608,False,56,41,6,0
NA1_3823414082,1,,,,,,,,,,,,,,,,,,,,,0,1225608,True,41,56,6,0
NA1_3823369710,0,,,,,,,,,,,,,,,,,,,,,0,1378984,True,41,60,6,0
NA1_3823369710,1,,,,,,,,,,,,,,,,,,,,,0,1378984,False,61,41,6,0
NA1_3823327817,0,,,,,,,,,,,,,,,,,,,,,0,754386,True,18,29,6,0
NA1_3823327817,1,,,,,,,,,,,,,,,,,,,,,0,754386,False,29,17,6,0
NA1_3821834808,0,,,,,,,,,,,,,,,,,,,,,0,1356877,False,58,38,6,0
NA1_3821834808,1,,,,,,,,,,,,,,,,,,,,,0,1356877,True,42,57,6,0
NA1_3821759144,0,,,,,,,,,,,,,,,,,,,,,0,1876938,True,46,56,6,0
NA1_3821759144,1,,,,,,,,,,,,,,,,,,,,,0,1876938,False,56,46,6,0
NA1_3821793153,0,,,,,,,,,,,,,,,,,,,,,0,1322852,True,53,53,6,0
NA1_3821793153,1,,,,,,,,,,,,,,,,,,,,,0,1322852,False,53,53,6,0
NA1_3821729805,0,,,,,,,,,,,,,,,,,,,,,0,1626335,True,39,62,6,0
NA1_3821729805,1,,,,,,,,,,,,,,,,,,,,,0,1626335,False,62,39,6,0
NA1_3778781710,0,,,,,,,,,,,,,,,,,,,,,0,1128244,False,45,29,6,0
NA1_3778781710,1,,,,,,,,,,,,,,,,,,,,,0,1128244,True,29,45,6,0
NA1_3778705034,0,,,,,,,,,,,,,,,,,,,,,0,1162941,True,27,63,6,0
NA1_3778705034,1,,,,,,,,,,,,,,,,,,,,,0,1162941,False,63,27,6,0
NA1_3743037607,0,,,,,,,,,,,,,,,,,,,,,0,823462,True,33,37,6,0
NA1_3743037607,1,,,,,,,,,,,,,,,,,,,,,0,823462,False,37,33,6,0
NA1_3743080846,0,,,,,,,,,,,,,,,,,,,,,0,1319401,True,38,57,6,0
NA1_3743080846,1,,,,,,,,,,,,,,,,,,,,,0,1319401,False,57,38,6,0
NA1_3742968738,0,,,,,,,,,,,,,,,,,,,,,0,897936,True,34,35,6,0
NA1_3742968738,1,,,,,,,,,,,,,,,,,,,,,0,897936,False,35,33,6,0
NA1_3742182411,0,,,,,,,,,,,,,,,,,,,,,0,1135871,True,43,51,6,0
NA1_3742182411,1,,,,,,,,,,,,,,,,,,,,,0,1135871,False,51,43,6,0
NA1_3718802554,0,,,,,,,,,,,,,,,,,,,,,0,1536228,False,58,48,6,0
NA1_3718802554,1,,,,,,,,,,,,,,,,,,,,,0,1536228,True,48,58,6,0
NA1_3810539676,0,,,,,,,,,,,,,,,,,,,,,0,645665,True,11,21,6,0
NA1_3810539676,1,,,,,,,,,,,,,,,,,,,,,0,645665,False,21,11,6,0
NA1_3883168728,0,,,,,,,,,,,,,,,,,,,,,0,1173571,True,47,34,6,0
NA1_3883168728,1,,,,,,,,,,,,,,,,,,,,,0,1173571,False,34,46,6,0
NA1_3882333805,0,,,,,,,,,,,,,,,,,,,,,0,1079076,True,36,29,6,0
NA1_3882333805,1,,,,,,,,,,,,,,,,,,,,,0,1079076,False,29,36,6,0
NA1_3881556366,0,,,,,,,,,,,,,,,,,,,,,0,1235957,False,44,34,6,0
NA1_3881556366,1,,,,,,,,,,,,,,,,,,,,,0,1235957,True,34,44,6,0
NA1_3881571244,0,,,,,,,,,,,,,,,,,,,,,0,1240262,True,47,51,6,0
NA1_3881571244,1,,,,,,,,,,,,,,,,,,,,,0,1240262,False,51,46,6,0
NA1_3878338912,0,,,,,,,,,,,,,,,,,,,,,0,1268282,False,50,41,6,0
NA1_3878338912,1,,,,,,,,,,,,,,,,,,,,,0,1268282,True,41,50,6,0
NA1_3878364254,0,,,,,,,,,,,,,,,,,,,,,0,1109782,True,34,57,6,0
NA1_3878364254,1,,,,,,,,,,,,,,,,,,,,,0,1109782,False,57,34,6,0
NA1_3878361406,0,,,,,,,,,,,,,,,,,,,,,0,1430045,True,40,48,6,0
NA1_3878361406,1,,,,,,,,,,,,,,,,,,,,,0,1430045,False,48,40,6,0
NA1_3878289458,0,,,,,,,,,,,,,,,,,,,,,0,1095057,False,46,44,6,0
NA1_3878289458,1,,,,,,,,,,,,,,,,,,,,,0,1095057,True,44,46,6,0
NA1_3878103005,0,,,,,,,,,,,,,,,,,,,,,0,866576,True,23,40,6,0
NA1_3878103005,1,,,,,,,,,,,,,,,,,,,,,0,866576,False,40,23,6,0
NA1_3877538259,0,,,,,,,,,,,,,,,,,,,,,0,918192,False,33,20,6,0
NA1_3877538259,1,,,,,,,,,,,,,,,,,,,,,0,918192,True,21,33,6,0
NA1_3877593805,0,,,,,,,,,,,,,,,,,,,,,0,824895,True,16,37,6,0
NA1_3877593805,1,,,,,,,,,,,,,,,,,,,,,0,824895,False,37,16,6,0
NA1_3877148092,0,,,,,,,,,,,,,,,,,,,,,0,1277153,False,52,53,6,0
NA1_3877148092,1,,,,,,,,,,,,,,,,,,,,,0,1277153,True,53,52,6,0
NA1_3876966504,0,,,,,,,,,,,,,,,,,,,,,0,1196476,False,47,44,6,0
NA1_3876966504,1,,,,,,,,,,,,,,,,,,,,,0,1196476,True,44,47,6,0
NA1_3876311613,0,,,,,,,,,,,,,,,,,,,,,0,1196616,True,51,45,6,0
NA1_3876311613,1,,,,,,,,,,,,,,,,,,,,,0,1196616,False,45,49,6,0
NA1_3875701525,0,,,,,,,,,,,,,,,,,,,,,0,1075423,False,41,35,6,0
NA1_3875701525,1,,,,,,,,,,,,,,,,,,,,,0,1075423,True,35,41,6,0
NA1_3874367504,0,,,,,,,,,,,,,,,,,,,,,0,1285296,True,46,31,6,0
NA1_3874367504,1,,,,,,,,,,,,,,,,,,,,,0,1285296,False,31,46,6,0
NA1_3873415035,0,,,,,,,,,,,,,,,,,,,,,0,555857,True,18,26,6,0
NA1_3873415035,1,,,,,,,,,,,,,,,,,,,,,0,555857,False,26,18,6,0
NA1_3873421377,0,,,,,,,,,,,,,,,,,,,,,0,1204016,False,60,54,6,0
NA1_3873421377,1,,,,,,,,,,,,,,,,,,,,,0,1204016,True,54,60,6,0
NA1_3873268007,0,,,,,,,,,,,,,,,,,,,,,0,909801,False,39,27,6,0
NA1_3873268007,1,,,,,,,,,,,,,,,,,,,,,0,909801,True,27,39,6,0
NA1_3873284346,0,,,,,,,,,,,,,,,,,,,,,0,1237077,True,43,54,6,0
NA1_3873284346,1,,,,,,,,,,,,,,,,,,,,,0,1237077,False,54,43,6,0
NA1_3873320422,0,,,,,,,,,,,,,,,,,,,,,0,1416574,True,51,40,6,0
NA1_3873320422,1,,,,,,,,,,,,,,,,,,,,,0,1416574,False,40,51,6,0
NA1_3872339135,0,,,,,,,,,,,,,,,,,,,,,0,752856,True,28,36,6,0
NA1_3872339135,1,,,,,,,,,,,,,,,,,,,,,0,752856,False,36,28,6,0
NA1_3870491382,0,,,,,,,,,,,,,,,,,,,,,0,1306484,False,54,36,6,0
NA1_3870491382,1,,,,,,,,,,,,,,,,,,,,,0,1306484,True,36,54,6,0
NA1_3868949283,0,,,,,,,,,,,,,,,,,,,,,0,879038,True,34,33,6,0
NA1_3868949283,1,,,,,,,,,,,,,,,,,,,,,0,879038,False,33,34,6,0
NA1_3868977503,0,,,,,,,,,,,,,,,,,,,,,0,1301481,True,40,50,6,0
NA1_3868977503,1,,,,,,,,,,,,,,,,,,,,,0,1301481,False,50,40,6,0
NA1_3868966766,0,,,,,,,,,,,,,,,,,,,,,0,664552,True,16,28,6,0
NA1_3868966766,1,,,,,,,,,,,,,,,,,,,,,0,664552,False,28,16,6,0
NA1_3866496385,0,,,,,,,,,,,,,,,,,,,,,0,868101,False,51,29,6,0
NA1_3866496385,1,,,,,,,,,,,,,,,,,,,,,0,868101,True,29,51,6,0
NA1_3865057359,0,,,,,,,,,,,,,,,,,,,,,0,1536803,True,42,60,6,0
NA1_3865057359,1,,,,,,,,,,,,,,,,,,,,,0,1536803,False,60,42,6,0
NA1_3864914528,0,,,,,,,,,,,,,,,,,,,,,0,2100140,False,63,62,6,0
NA1_3864914528,1,,,,,,,,,,,,,,,,,,,,,0,2100140,True,62,60,6,0
NA1_3863796297,0,,,,,,,,,,,,,,,,,,,,,0,1015400,True,25,35,6,0
NA1_3863796297,1,,,,,,,,,,,,,,,,,,,,,0,1015400,False,35,25,6,0
NA1_3863706831,0,,,,,,,,,,,,,,,,,,,,,0,1812609,False,55,47,6,0
NA1_3863706831,1,,,,,,,,,,,,,,,,,,,,,0,1812609,True,47,55,6,0
NA1_3863704830,0,,,,,,,,,,,,,,,,,,,,,0,1253113,False,53,42,6,0
NA1_3863704830,1,,,,,,,,,,,,,,,,,,,,,0,1253113,True,42,52,6,0
NA1_3863659190,0,,,,,,,,,,,,,,,,,,,,,0,1348340,False,46,39,6,0
NA1_3863659190,1,,,,,,,,,,,,,,,,,,,,,0,1348340,True,39,46,6,0
NA1_3863657604,0,,,,,,,,,,,,,,,,,,,,,0,1290995,False,57,47,6,0
NA1_3863657604,1,,,,,,,,,,,,,,,,,,,,,0,1290995,True,47,57,6,0
NA1_3863578733,0,,,,,,,,,,,,,,,,,,,,,0,979806,False,44,42,6,0
NA1_3863578733,1,,,,,,,,,,,,,,,,,,,,,0,979806,True,43,44,6,0
NA1_3863596840,0,,,,,,,,,,,,,,,,,,,,,0,1032171,False,52,28,6,0
NA1_3863596840,1,,,,,,,,,,,,,,,,,,,,,0,1032171,True,31,52,6,0
NA1_3863003129,0,,,,,,,,,,,,,,,,,,,,,0,1449904,False,48,34,6,0
NA1_3863003129,1,,,,,,,,,,,,,,,,,,,,,0,1449904,True,34,48,6,0
NA1_3862929169,0,,,,,,,,,,,,,,,,,,,,,0,1282781,True,56,47,6,0
NA1_3862929169,1,,,,,,,,,,,,,,,,,,,,,0,1282781,False,47,56,6,0
NA1_3858568453,0,,,,,,,,,,,,,,,,,,,,,0,1317294,True,39,45,6,0
NA1_3858568453,1,,,,,,,,,,,,,,,,,,,,,0,1317294,False,45,39,6,0
NA1_3855885735,0,,,,,,,,,,,,,,,,,,,,,0,1526093,True,33,59,6,0
NA1_3855885735,1,,,,,,,,,,,,,,,,,,,,,0,1526093,False,59,33,6,0
NA1_3855942661,0,,,,,,,,,,,,,,,,,,,,,0,716232,True,13,26,6,0
NA1_3855942661,1,,,,,,,,,,,,,,,,,,,,,0,716232,False,26,13,6,0
NA1_3854876329,0,,,,,,,,,,,,,,,,,,,,,0,1160292,False,45,33,6,0
NA1_3854876329,1,,,,,,,,,,,,,,,,,,,,,0,1160292,True,34,45,6,0
NA1_3854891150,0,,,,,,,,,,,,,,,,,,,,,0,1439375,True,41,41,6,0
NA1_3854891150,1,,,,,,,,,,,,,,,,,,,,,0,1439375,False,41,41,6,0
NA1_3854845203,0,,,,,,,,,,,,,,,,,,,,,0,882332,True,22,36,6,0
NA1_3854845203,1,,,,,,,,,,,,,,,,,,,,,0,882332,False,36,22,6,0
NA1_3851046819,0,,,,,,,,,,,,,,,,,,,,,0,1283893,False,65,43,6,0
NA1_3851046819,1,,,,,,,,,,,,,,,,,,,,,0,1283893,True,43,65,6,0
NA1_3850877322,0,,,,,,,,,,,,,,,,,,,,,0,1358037,True,42,56,6,0
NA1_3850877322,1,,,,,,,,,,,,,,,,,,,,,0,1358037,False,56,42,6,0
NA1_3849527323,0,,,,,,,,,,,,,,,,,,,,,0,1098640,True,26,36,6,0
NA1_3849527323,1,,,,,,,,,,,,,,,,,,,,,0,1098640,False,36,26,6,0
NA1_3849535171,0,,,,,,,,,,,,,,,,,,,,,0,942721,False,48,20,6,0
NA1_3849535171,1,,,,,,,,,,,,,,,,,,,,,0,942721,True,20,48,6,0
NA1_3849428869,0,,,,,,,,,,,,,,,,,,,,,0,1143679,True,31,46,6,0
NA1_3849428869,1,,,,,,,,,,,,,,,,,,,,,0,1143679,False,46,30,6,0
NA1_3848698105,0,,,,,,,,,,,,,,,,,,,,,0,1181515,True,28,35,6,0
NA1_3848698105,1,,,,,,,,,,,,,,,,,,,,,0,1181515,False,35,28,6,0
NA1_3848492543,0,,,,,,,,,,,,,,,,,,,,,0,1064749,True,33,35,6,0
NA1_3848492543,1,,,,,,,,,,,,,,,,,,,,,0,1064749,False,35,32,6,0
NA1_3848480118,0,,,,,,,,,,,,,,,,,,,,,0,1207981,False,56,50,6,0
NA1_3848480118,1,,,,,,,,,,,,,,,,,,,,,0,1207981,True,50,55,6,0
NA1_3847923877,0,,,,,,,,,,,,,,,,,,,,,0,1116513,True,47,42,6,0
NA1_3847923877,1,,,,,,,,,,,,,,,,,,,,,0,1116513,False,42,47,6,0
NA1_3846099350,0,,,,,,,,,,,,,,,,,,,,,0,1285016,False,20,9,6,0
NA1_3846099350,1,,,,,,,,,,,,,,,,,,,,,0,1285016,True,9,20,6,0
NA1_3846075179,0,,,,,,,,,,,,,,,,,,,,,0,1022017,False,27,12,6,0
NA1_3846075179,1,,,,,,,,,,,,,,,,,,,,,0,1022017,True,12,27,6,0
NA1_3846017658,0,,,,,,,,,,,,,,,,,,,,,0,1195703,False,23,13,6,0
NA1_3846017658,1,,,,,,,,,,,,,,,,,,,,,0,1195703,True,13,23,6,0
NA1_3845984057,0,,,,,,,,,,,,,,,,,,,,,0,1210400,True,10,32,6,0
NA1_3845984057,1,,,,,,,,,,,,,,,,,,,,,0,1210400,False,32,10,6,0
NA1_3845732051,0,,,,,,,,,,,,,,,,,,,,,0,946028,True,31,42,6,0
NA1_3845732051,1,,,,,,,,,,,,,,,,,,,,,0,946028,False,42,31,6,0
NA1_3845750003,0,,,,,,,,,,,,,,,,,,,,,0,864014,False,48,33,6,0
NA1_3845750003,1,,,,,,,,,,,,,,,,,,,,,0,864014,True,34,48,6,0
NA1_3845686592,0,,,,,,,,,,,,,,,,,,,,,0,1221076,False,49,52,6,0
NA1_3845686592,1,,,,,,,,,,,,,,,,,,,,,0,1221076,True,52,49,6,0
NA1_3845645625,0,,,,,,,,,,,,,,,,,,,,,0,963212,False,43,35,6,0
NA1_3845645625,1,,,,,,,,,,,,,,,,,,,,,0,963212,True,35,43,6,0
NA1_3845680319,0,,,,,,,,,,,,,,,,,,,,,0,2376979,True,40,57,6,0
NA1_3845680319,1,,,,,,,,,,,,,,,,,,,,,0,2376979,False,57,40,6,0
NA1_3840629989,0,,,,,,,,,,,,,,,,,,,,,0,1237701,False,58,49,6,0
NA1_3840629989,1,,,,,,,,,,,,,,,,,,,,,0,1237701,True,49,58,6,0
NA1_3811516086,0,,,,,,,,,,,,,,,,,,,,,0,1839708,True,59,68,6,0
NA1_3811516086,1,,,,,,,,,,,,,,,,,,,,,0,1839708,False,68,59,6,0
NA1_3811524857,0,,,,,,,,,,,,,,,,,,,,,0,761020,True,18,30,6,0
NA1_3811524857,1,,,,,,,,,,,,,,,,,,,,,0,761020,False,30,18,6,0
NA1_3810522226,0,,,,,,,,,,,,,,,,,,,,,0,1596057,True,49,55,6,0
NA1_3810522226,1,,,,,,,,,,,,,,,,,,,,,0,1596057,False,55,49,6,0
NA1_3810540070,0,,,,,,,,,,,,,,,,,,,,,0,1160332,True,46,55,6,0
NA1_3810540070,1,,,,,,,,,,,,,,,,,,,,,0,1160332,False,55,46,6,0
NA1_3809016868,0,,,,,,,,,,,,,,,,,,,,,0,1512773,False,40,36,6,0
NA1_3809016868,1,,,,,,,,,,,,,,,,,,,,,0,1512773,True,37,40,6,0
NA1_3809015501,0,,,,,,,,,,,,,,,,,,,,,0,995791,True,11,35,6,0
NA1_3809015501,1,,,,,,,,,,,,,,,,,,,,,0,995791,False,35,11,6,0
NA1_3804378004,0,,,,,,,,,,,,,,,,,,,,,0,964723,True,11,31,6,0
NA1_3804378004,1,,,,,,,,,,,,,,,,,,,,,0,964723,False,31,10,6,0
